회사: ('롯데렌탈', None)

(2021, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('118749568693.00'))
(2021, '연결', '법인세비용차감전순이익', 'ifrs-full_ProfitLossBeforeTax', Decimal('150414606640.00'))
(2021, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('113578198380.00'))
(2021, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('113578198380.00'))
(2022, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('88328519054.00'))
(2022, '연결', '법인세비용차감전순이익', 'ifrs-full_ProfitLossBeforeTax', Decimal('137583837940.00'))
(2022, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('88328519054.00'))
(2022, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('88328519054.00'))
(2023, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('0.00'))
(2023, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('115205052028.00'))
(2023, '연결', '비지배지분', 'ifrs-full_ProfitLossAttributableToNoncontrollingInterests', Decimal('-4786014805.00'))
(2023, '연결', '지배기업 소유주지분', 'ifrs-full_ProfitLossAttributableToOwnersOfParent', Decimal('119991066833.00'))
(2023, '연결', '법인세비용차감전순이익', 'ifrs-full_ProfitLossBeforeTax', Decimal('161436613250.00'))
(2023, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('115205052028.00'))
(2023, '연결', '당기순이익조정을 위한 가감', 'ifrs-full_AdjustmentsForReconcileProfitLoss', Decimal('1298407666749.00'))
(2023, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('115205052028.00'))
(2024, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('102710507301.00'))
(2024, '연결', '비지배지분', 'ifrs-full_ProfitLossAttributableToNoncontrollingInterests', Decimal('-4065154395.00'))
(2024, '연결', '지배기업 소유주지분', 'ifrs-full_ProfitLossAttributableToOwnersOfParent', Decimal('106775661696.00'))
(2024, '연결', '법인세비용차감전순이익', 'ifrs-full_ProfitLossBeforeTax', Decimal('133400007673.00'))
(2024, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('102710507301.00'))
(2024, '연결', '비현금항목의 조정', 'ifrs-full_AdjustmentsForReconcileProfitLoss', Decimal('1288920283544.00'))
(2024, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('102710507301.00'))
(2024, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('0.00'))
(2025, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('126714957828.00'))
(2025, '연결', '비지배지분', 'ifrs-full_ProfitLossAttributableToNoncontrollingInterests', Decimal('-890925162.00'))
(2025, '연결', '지배기업 소유주지분', 'ifrs-full_ProfitLossAttributableToOwnersOfParent', Decimal('127605882990.00'))
(2025, '연결', '법인세비용차감전순이익', 'ifrs-full_ProfitLossBeforeTax', Decimal('167001086451.00'))
(2025, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('126714957828.00'))
(2025, '연결', '비현금항목의 조정', 'ifrs-full_AdjustmentsForReconcileProfitLoss', Decimal('1305486188779.00'))
(2025, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('126714957828.00'))
(2025, '연결', '당기순이익', 'ifrs-full_ProfitLoss', Decimal('0.00'))
